,#,Company,Symbol,Sector,Stock Price,Employees
0,1,Apple Inc.,AAPL,Technology,234.91,164000
1,2,NVIDIA Corporation,NVDA,Technology,137.01,29600
2,3,Microsoft Corporation,MSFT,Technology,425.93,228000
3,4,"Amazon.com, Inc.",AMZN,Consumer Cyclical,206.07,1551000
4,5,"Meta Platforms, Inc.",META,Communication Services,574.82,72404
5,6,"Tesla, Inc.",TSLA,Consumer Cyclical,343.71,140473
6,7,Berkshire Hathaway Inc. New,BRK.B,Financial Services,476.19,396500
7,8,Alphabet Inc.,GOOG,Communication Services,170.92,181269
8,9,Broadcom Inc.,AVGO,Technology,164.26,20000
9,10,JP Morgan Chase & Co.,JPM,Financial Services,249.24,316043
10,11,Eli Lilly and Company,LLY,Healthcare,797.49,43000
11,12,UnitedHealth Group Incorporated,UNH,Healthcare,603.75,440000
12,13,Exxon Mobil Corporation,XOM,Energy,118.16,62000
13,14,Visa Inc.,V,Financial Services,313.2,28800
14,15,Mastercard Incorporated,MA,Financial Services,527.26,33400
15,16,Costco Wholesale Corporation,COST,Consumer Defensive,966.95,333000
16,17,"Home Depot, Inc. (The)",HD,Consumer Cyclical,425.15,465000
17,18,Procter & Gamble Company (The),PG,Consumer Defensive,178.06,108000
18,19,Walmart Inc.,WMT,Consumer Defensive,91.07,2100000
19,20,Johnson & Johnson,JNJ,Healthcare,153.52,131900
20,21,"Netflix, Inc.",NFLX,Communication Services,882.69,13000
21,22,"Salesforce, Inc.",CRM,Technology,341.86,72682
22,23,Bank of America Corporation,BAC,Financial Services,47.43,213000
23,24,AbbVie Inc.,ABBV,Healthcare,179.41,50000
24,25,Oracle Corporation,ORCL,Technology,191.02,159000
25,26,Chevron Corporation,CVX,Energy,162.24,45600
26,27,Wells Fargo & Company,WFC,Financial Services,77.57,220167
27,28,"Merck & Co., Inc.",MRK,Healthcare,100.59,70000
28,29,Coca-Cola Company (The),KO,Consumer Defensive,64.45,79100
29,30,"Cisco Systems, Inc.",CSCO,Technology,59.05,90400
30,31,Adobe Inc.,ADBE,Technology,521.07,29945
