model_name,elapsed_time,accuracy,precision,recall,f1_score
deepseek-r1:1.5b,40.56,0.6,0.6061120543293719,0.6,0.5941558441558441
deepseek-r1:7b,55.29,0.8,0.8078817733990147,0.8,0.7987117552334944
deepseek-r1:8b,58.6,0.82,0.8333333333333334,0.8200000000000001,0.8181818181818181
deepseek-r1:14b,97.74,0.88,0.88,0.88,0.88
deepseek-r1:32b,742.05,0.78,0.780448717948718,0.78,0.7799119647859143
llama3:8b,51.46,0.88,0.8824476650563606,0.88,0.8798076923076923
llama3.1:8b,49.79,0.86,0.8605769230769231,0.86,0.8599439775910365
llama3.2:1b,24.84,0.34,0.20238095238095238,0.34,0.2537313432835821
llama3.2:3b,31.46,0.76,0.7896613190730838,0.76,0.7536945812807883
phi3:3.8b,39.34,0.84,0.8607809847198642,0.84,0.8376623376623377
phi3:14b,89.7,0.78,0.7916666666666666,0.78,0.7777777777777778
phi4:14b,83.68,0.82,0.8246753246753247,0.8200000000000001,0.8193496587715776
qwen2:0.5b,18.03,0.42,0.3106060606060606,0.42000000000000004,0.3221131369798972
qwen2:1.5b,23.76,0.58,0.7717391304347826,0.58,0.4900437105390966
qwen2:7b,48.07,0.82,0.8333333333333334,0.8200000000000001,0.8181818181818181
qwen2.5:0.5b,19.83,0.3,0.1875,0.3,0.23076923076923078
qwen2.5:1.5b,23.81,0.6,0.707641196013289,0.6,0.5404411764705883
qwen2.5:3b,34.14,0.84,0.8607809847198642,0.84,0.8376623376623377
qwen2.5:7b,51.29,0.76,0.7758913412563667,0.76,0.7564935064935066
qwen2.5:14b,89.44,0.76,0.7758913412563667,0.76,0.7564935064935066
gemma:2b,37.71,0.42,0.22826086956521738,0.42,0.29577464788732394
gemma:7b,56.28,0.68,0.681159420289855,0.6799999999999999,0.6794871794871795
gemma2:2b,32.02,0.82,0.8333333333333334,0.8200000000000001,0.8181818181818181
gemma2:9b,68.46,0.84,0.8489326765188834,0.8400000000000001,0.8389694041867954
mistral,53.37,0.82,0.8333333333333334,0.8200000000000001,0.8181818181818181
