,path,symbol,company,year,quarter,timestamp,label_start_date,label_end_date,day,month,conference_id
0,/home/aacastro/mchai/companies/KMI/2024/Q2,KMI,"Kinder Morgan, Inc.",2024,Q2,2024-07-17,2024-07-10,2024-07-24,17,7,0
1,/home/aacastro/mchai/companies/KMI/2024/Q3,KMI,"Kinder Morgan, Inc.",2024,Q3,2024-10-16,2024-10-09,2024-10-23,16,10,1
2,/home/aacastro/mchai/companies/KMI/2023/Q2,KMI,"Kinder Morgan, Inc.",2023,Q2,2023-07-19,2023-07-12,2023-07-26,19,7,2
3,/home/aacastro/mchai/companies/KMI/2023/Q1,KMI,"Kinder Morgan, Inc.",2023,Q1,2023-04-19,2023-04-12,2023-04-26,19,4,3
4,/home/aacastro/mchai/companies/KMI/2021/Q4,KMI,"Kinder Morgan, Inc.",2021,Q4,2022-01-19,2022-01-12,2022-01-26,19,1,4
5,/home/aacastro/mchai/companies/KMI/2021/Q2,KMI,"Kinder Morgan, Inc.",2021,Q2,2021-07-21,2021-07-14,2021-07-28,21,7,5
6,/home/aacastro/mchai/companies/KMI/2021/Q1,KMI,"Kinder Morgan, Inc.",2021,Q1,2021-04-21,2021-04-14,2021-04-28,21,4,6
7,/home/aacastro/mchai/companies/KMI/2021/Q3,KMI,"Kinder Morgan, Inc.",2021,Q3,2021-10-20,2021-10-13,2021-10-27,20,10,7
8,/home/aacastro/mchai/companies/KMI/2020/Q4,KMI,"Kinder Morgan, Inc.",2020,Q4,2021-01-20,2021-01-13,2021-01-27,20,1,8
9,/home/aacastro/mchai/companies/KMI/2020/Q3,KMI,"Kinder Morgan, Inc.",2020,Q3,2020-10-21,2020-10-14,2020-10-28,21,10,9
10,/home/aacastro/mchai/companies/KMI/2022/Q4,KMI,"Kinder Morgan, Inc.",2022,Q4,2023-01-18,2023-01-11,2023-01-25,18,1,10
11,/home/aacastro/mchai/companies/KMI/2022/Q2,KMI,"Kinder Morgan, Inc.",2022,Q2,2022-07-20,2022-07-13,2022-07-27,20,7,11
12,/home/aacastro/mchai/companies/KMI/2022/Q3,KMI,"Kinder Morgan, Inc.",2022,Q3,2022-10-19,2022-10-12,2022-10-26,19,10,12
13,/home/aacastro/mchai/companies/AAPL/2019/Q4,AAPL,Apple Inc.,2019,Q4,2019-10-30,2019-10-23,2019-11-06,30,10,13
14,/home/aacastro/mchai/companies/AAPL/2019/Q2,AAPL,Apple Inc.,2019,Q2,2019-04-30,2019-04-23,2019-05-07,30,4,14
15,/home/aacastro/mchai/companies/AAPL/2019/Q1,AAPL,Apple Inc.,2019,Q1,2019-01-29,2019-01-22,2019-02-05,29,1,15
16,/home/aacastro/mchai/companies/AAPL/2019/Q3,AAPL,Apple Inc.,2019,Q3,2019-07-30,2019-07-23,2019-08-06,30,7,16
17,/home/aacastro/mchai/companies/AAPL/2024/Q1,AAPL,Apple Inc.,2024,Q1,2024-02-01,2024-01-25,2024-02-08,1,2,17
18,/home/aacastro/mchai/companies/AAPL/2023/Q4,AAPL,Apple Inc.,2023,Q4,2023-11-03,2023-10-27,2023-11-10,3,11,18
19,/home/aacastro/mchai/companies/AAPL/2023/Q2,AAPL,Apple Inc.,2023,Q2,2023-05-04,2023-04-27,2023-05-11,4,5,19
20,/home/aacastro/mchai/companies/AAPL/2023/Q1,AAPL,Apple Inc.,2023,Q1,2023-02-02,2023-01-26,2023-02-09,2,2,20
21,/home/aacastro/mchai/companies/AAPL/2023/Q3,AAPL,Apple Inc.,2023,Q3,2023-08-03,2023-07-27,2023-08-10,3,8,21
22,/home/aacastro/mchai/companies/AAPL/2021/Q4,AAPL,Apple Inc.,2021,Q4,2021-10-28,2021-10-21,2021-11-04,28,10,22
23,/home/aacastro/mchai/companies/AAPL/2021/Q2,AAPL,Apple Inc.,2021,Q2,2021-04-28,2021-04-21,2021-05-05,28,4,23
24,/home/aacastro/mchai/companies/AAPL/2021/Q1,AAPL,Apple Inc.,2021,Q1,2021-01-27,2021-01-20,2021-02-03,27,1,24
25,/home/aacastro/mchai/companies/AAPL/2021/Q3,AAPL,Apple Inc.,2021,Q3,2021-07-27,2021-07-20,2021-08-03,27,7,25
26,/home/aacastro/mchai/companies/AAPL/2018/Q4,AAPL,Apple Inc.,2018,Q4,2018-11-01,2018-10-25,2018-11-08,1,11,26
27,/home/aacastro/mchai/companies/AAPL/2018/Q3,AAPL,Apple Inc.,2018,Q3,2018-07-31,2018-07-24,2018-08-07,31,7,27
28,/home/aacastro/mchai/companies/AAPL/2020/Q2,AAPL,Apple Inc.,2020,Q2,2020-04-30,2020-04-23,2020-05-07,30,4,28
29,/home/aacastro/mchai/companies/AAPL/2022/Q4,AAPL,Apple Inc.,2022,Q4,2022-10-27,2022-10-20,2022-11-03,27,10,29
30,/home/aacastro/mchai/companies/AAPL/2022/Q2,AAPL,Apple Inc.,2022,Q2,2022-04-28,2022-04-21,2022-05-05,28,4,30
31,/home/aacastro/mchai/companies/AAPL/2022/Q1,AAPL,Apple Inc.,2022,Q1,2022-01-27,2022-01-20,2022-02-03,27,1,31
32,/home/aacastro/mchai/companies/AAPL/2022/Q3,AAPL,Apple Inc.,2022,Q3,2022-07-28,2022-07-21,2022-08-04,28,7,32
33,/home/aacastro/mchai/companies/ABNB/2024/Q2,ABNB,"Airbnb, Inc.",2024,Q2,2024-08-06,2024-07-30,2024-08-13,6,8,33
34,/home/aacastro/mchai/companies/ABNB/2024/Q1,ABNB,"Airbnb, Inc.",2024,Q1,2024-05-08,2024-05-01,2024-05-15,8,5,34
