,Date,Ticker,Entreprise,Close
0,2018-12-31,AAPL,Apple Inc.,37.62424087524414
1,2018-12-31,ABBV,AbbVie Inc.,69.75817108154297
2,2018-12-31,ABT,Abbott Laboratories,64.86874389648438
3,2018-12-31,ACN,Accenture plc,129.3890380859375
4,2018-12-31,ADBE,Adobe Inc.,226.2400054931641
5,2018-12-31,ADP,"Automatic Data Processing, Inc.",114.9555740356445
6,2018-12-31,AEP,American Electric Power Company,59.86055755615234
7,2018-12-31,ALB,Albemarle Corporation,71.04655456542969
8,2018-12-31,AMAT,"Applied Materials, Inc.",30.61285209655762
9,2018-12-31,AMD,"Advanced Micro Devices, Inc.",18.45999908447266
10,2018-12-31,AMGN,Amgen Inc.,160.8755187988281
11,2018-12-31,AMT,American Tower Corporation (REI,136.3340148925781
12,2018-12-31,AMZN,"Amazon.com, Inc.",75.09850311279297
13,2018-12-31,APD,"Air Products and Chemicals, Inc",138.1829071044922
14,2018-12-31,AVB,"AvalonBay Communities, Inc.",140.8173980712891
15,2018-12-31,AVGO,Broadcom Inc.,21.19341659545898
16,2018-12-31,AWK,"American Water Works Company, I",81.03874206542969
17,2018-12-31,AXP,American Express Company,87.49464416503906
18,2018-12-31,AZO,"AutoZone, Inc.",838.3400268554688
19,2018-12-31,BA,Boeing Company (The),313.3722534179688
20,2018-12-31,BAC,Bank of America Corporation,21.14161682128906
21,2018-12-31,BKNG,Booking Holdings Inc. Common St,1703.792236328125
22,2018-12-31,BKR,Baker Hughes Company,17.86767578125
23,2018-12-31,BLK,"BlackRock, Inc.",334.6360168457031
24,2018-12-31,BMY,Bristol-Myers Squibb Company,41.66092681884766
25,2018-12-31,BSX,Boston Scientific Corporation,35.34000015258789
26,2018-12-31,BX,Blackstone Inc.,23.70474433898926
27,2018-12-31,C,"Citigroup, Inc.",41.54194259643555
28,2018-12-31,CAT,"Caterpillar, Inc.",110.3174743652344
29,2018-12-31,CB,Chubb Limited,115.4308242797852
30,2018-12-31,CBRE,CBRE Group Inc,40.04000091552734
31,2018-12-31,CCI,Crown Castle Inc.,83.48460388183594
32,2018-12-31,CF,"CF Industries Holdings, Inc.",37.20560073852539
33,2018-12-31,CHD,"Church & Dwight Company, Inc.",61.06684112548828
34,2018-12-31,CHTR,"Charter Communications, Inc.",284.9700012207031
35,2018-12-31,CI,The Cigna Group,176.3729553222656
36,2018-12-31,CL,Colgate-Palmolive Company,51.32822036743164
37,2018-12-31,CMCSA,Comcast Corporation,29.10434341430664
38,2018-12-31,CMG,"Chipotle Mexican Grill, Inc.",8.6358003616333
39,2018-12-31,COP,ConocoPhillips,50.25826644897461
40,2018-12-31,COST,Costco Wholesale Corporation,185.1900939941406
41,2018-12-31,CRM,"Salesforce, Inc.",136.209228515625
42,2018-12-31,CSCO,"Cisco Systems, Inc.",35.57766342163086
43,2018-12-31,CSGP,"CoStar Group, Inc.",33.73400115966797
44,2018-12-31,CSX,CSX Corporation,19.07502365112305
45,2018-12-31,CTAS,Cintas Corporation,36.87604522705078
46,2018-12-31,CTRA,Coterra Energy Inc.,17.02566146850586
47,2018-12-31,CVX,Chevron Corporation,82.78575134277344
48,2018-12-31,D,"Dominion Energy, Inc.",54.33750534057617
49,2018-12-31,DD,"DuPont de Nemours, Inc.",67.40413665771484
50,2018-12-31,DE,Deere & Company,136.2619323730469
51,2018-12-31,DHI,"D.R. Horton, Inc.",32.42858123779297
52,2018-12-31,DHR,Danaher Corporation,89.05748748779297
53,2018-12-31,DIS,Walt Disney Company (The),107.0042266845703
54,2018-12-31,DLR,"Digital Realty Trust, Inc.",85.51988983154297
55,2018-12-31,DTE,DTE Energy Company,76.21714782714844
56,2018-12-31,DUK,Duke Energy Corporation (Holdin,66.8732681274414
57,2018-12-31,DVN,Devon Energy Corporation,16.48513984680176
58,2018-12-31,EA,Electronic Arts Inc.,76.9798812866211
59,2018-12-31,ECL,Ecolab Inc.,137.9085235595703
60,2018-12-31,EIX,Edison International,43.95461273193359
61,2018-12-31,ELV,"Elevance Health, Inc.",242.9803619384766
62,2018-12-31,EMN,Eastman Chemical Company,59.1392822265625
63,2018-12-31,EMR,Emerson Electric Company,51.35346603393555
64,2018-12-31,EOG,"EOG Resources, Inc.",67.49656677246094
65,2018-12-31,EQIX,"Equinix, Inc.",314.6790771484375
66,2018-12-31,EQR,Equity Residential,52.51012802124023
67,2018-12-31,EQT,EQT Corporation,17.6567554473877
