model_name,elapsed_time,accuracy,precision,recall,f1_score
deepseek-r1:1.5b,1248.29,0.4909090909090909,0.38534278959810875,0.3782051282051282,0.3312577833125778
deepseek-r1:7b,476.1,0.4482758620689655,0.46608946608946605,0.48476621417797894,0.4327058092575334
deepseek-r1:8b,682.81,0.5087719298245614,0.6498316498316498,0.5649673202614379,0.5000640040962622
deepseek-r1:14b,685.29,0.3793103448275862,0.41742979242979245,0.3901458019105078,0.38011695906432746
llama3:8b,277.63,0.5517241379310345,0.6970443349753696,0.5078934137757667,0.4522946859903381
llama3.1:8b,288.32,0.5344827586206896,0.7293447293447293,0.5154348919054801,0.4442640692640693
llama3.2:1b,40844.71,0.44642857142857145,0.2888888888888889,0.39333333333333337,0.33303303303303305
llama3.2:3b,337.51,0.5,0.3309438470728793,0.45324283559577677,0.38064859117490696
phi3:3.8b,123.38,0.4482758620689655,0.43675213675213675,0.4315233785822021,0.3957708957708957
phi3:14b,196.29,0.5344827586206896,0.6222222222222222,0.45279034690799397,0.43566957299351666
phi4,349.88,0.4482758620689655,0.5202210070631123,0.47224736048265453,0.4498451940312405
qwen2:0.5b,400.29,0.5,0.4718898385565052,0.46525892408245345,0.43846716396080154
qwen2:1.5b,421.51,0.46551724137931033,0.48538011695906436,0.35294117647058826,0.2458723784024989
qwen2:7b,358.99,0.5,0.38534278959810875,0.4125188536953243,0.36389181594661046
qwen2.5:0.5b,9081.33,0.47368421052631576,0.3231292517006803,0.38509803921568625,0.31387387387387383
qwen2.5:1.5b,368.68,0.41379310344827586,0.20299145299145296,0.31447963800904977,0.2255667038275734
qwen2.5:3b,309.17,0.3793103448275862,0.42361111111111116,0.4068376068376069,0.29278002699055333
qwen2.5:7b,357.0,0.5344827586206896,0.3813131313131313,0.49924585218702866,0.4109014675052411
qwen2.5:14b,455.29,0.5517241379310345,0.616031746031746,0.5763197586726999,0.5535087719298245
gemma:2b,486.56,0.41379310344827586,0.24489795918367344,0.3212669683257919,0.2511111111111111
gemma:7b,539.63,0.3793103448275862,0.3896825396825397,0.3828557063851181,0.32608695652173914
gemma2:2b,28622.18,0.40816326530612246,0.43083333333333335,0.3768939393939394,0.3831757289204097
gemma2:9b,4238.46,0.38596491228070173,0.4384057971014492,0.4460130718954248,0.3548332019963225
mistral,168.42,0.4482758620689655,0.44672683888370157,0.44560080442433386,0.4291633253140872
