timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/02/25 17:18:43.590, 0, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:43.593, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:43.596, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:43.599, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:44.602, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:44.602, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:44.602, 2, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:44.602, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:45.602, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:45.602, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:45.602, 2, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:45.602, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:46.602, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:46.602, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:46.603, 2, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:46.603, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:47.603, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:47.603, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:47.603, 2, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:47.603, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:48.603, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:48.603, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:48.603, 2, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:48.603, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:49.604, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:49.604, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:49.604, 2, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:49.604, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:50.604, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:50.604, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:50.604, 2, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:50.604, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:51.604, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:51.604, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:51.604, 2, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:51.604, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:52.605, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:52.605, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:52.605, 2, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:52.605, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:53.605, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:53.605, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:53.605, 2, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:53.605, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:54.605, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:54.605, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:54.605, 2, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:54.605, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:55.606, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:55.606, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:55.606, 2, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:55.606, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:56.606, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:56.606, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:56.606, 2, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:56.606, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:57.606, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:57.606, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:57.606, 2, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:57.606, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:58.606, 0, NVIDIA A10G, 0 %, 0 %, 259 MiB, 23028 MiB
2026/02/25 17:18:58.607, 1, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/25 17:18:58.607, 2, NVIDIA A10G, 0 %, 0 %, 18 MiB, 23028 MiB
2026/02/25 17:18:58.608, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:18:59.608, 0, NVIDIA A10G, 0 %, 0 %, 399 MiB, 23028 MiB
2026/02/25 17:18:59.609, 1, NVIDIA A10G, 0 %, 0 %, 399 MiB, 23028 MiB
2026/02/25 17:18:59.609, 2, NVIDIA A10G, 0 %, 0 %, 399 MiB, 23028 MiB
2026/02/25 17:18:59.609, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:00.609, 0, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:00.609, 1, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:00.609, 2, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:00.609, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:01.609, 0, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:01.609, 1, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:01.609, 2, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:01.609, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:02.609, 0, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:02.610, 1, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:02.610, 2, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:02.610, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:03.610, 0, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:03.610, 1, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:03.610, 2, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:03.610, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:04.610, 0, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:04.610, 1, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:04.610, 2, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:04.610, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:05.611, 0, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:05.611, 1, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:05.611, 2, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/25 17:19:05.611, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/25 17:19:06.611, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
