company,emotion,modality,hedges_g,ci_low,ci_high,p_value
ABNB,happy,audio,0.184047854755834,-0.09206488202566157,0.4601605915373296,0.19645928743047664
ABNB,happy,text,-0.03150976926778785,-0.307051521559176,0.24403198302360027,0.8223764913555458
ABNB,neutral,audio,-0.02972297831847656,-0.30526282869371013,0.24581687205675704,0.8322958330381679
ABNB,neutral,text,0.10703048593362847,-0.1686930819825438,0.3827540538498007,0.45006212145260466
ABNB,surprise,audio,-0.02278803760635891,-0.2983215575468373,0.25274548233411953,0.8707547368016901
ABNB,surprise,text,0.07596722042872145,-0.1996575794439714,0.3515920203014143,0.5902951426369057
ABNB,disgust,audio,-0.06714822953721822,-0.34275109508879775,0.20845463601436132,0.6338403169042743
ABNB,disgust,text,-0.03938260678645814,-0.31493406095011517,0.23616884737719887,0.7796447611673906
ABNB,anger,audio,0.4525881561293072,0.17352543168734874,0.7316508805712656,0.0012369151259321145
ABNB,anger,text,-0.061917108232372745,-0.3375082396856243,0.21367402322087886,0.6616458380336389
ABNB,sadness,audio,-0.30099662500434204,-0.5780916495856792,-0.02390160042300493,0.03328942267090149
ABNB,sadness,text,-0.13191989336863674,-0.4077467580783334,0.1439069713410599,0.35329938035345926
ABNB,fear,audio,-0.1955243787737712,-0.4717126732571199,0.08066391570957748,0.16324694056132047
ABNB,fear,text,-0.06372652629254966,-0.33932160896254693,0.21186855637744761,0.6505444839815689
TDG,happy,audio,0.05396062884896008,-0.147097930149816,0.25501918784773614,0.5920946230265427
TDG,happy,text,0.10440411179428194,-0.09674582097866433,0.30555404456722823,0.30469296318027583
TDG,neutral,audio,0.21800706263917344,0.016438714530778775,0.4195754107475681,0.03434983539214364
TDG,neutral,text,0.016393406689375174,-0.18463491191597134,0.21742172529472167,0.872616525997934
TDG,surprise,audio,-0.07387173119271281,-0.2749594081781941,0.12721594579276843,0.462867591344711
TDG,surprise,text,-0.03042483609686093,-0.2314606714661139,0.17061099927239207,0.7651019513885027
TDG,disgust,audio,-0.23665172032551124,-0.43831678318749606,-0.034986657463526416,0.022720192393411238
TDG,disgust,text,-0.2174383663801649,-0.41900388847618353,-0.015872844284146287,0.02846120228539732
TDG,anger,audio,-0.13747022982714374,-0.338711602062492,0.06377114240820453,0.1947971284185733
TDG,anger,text,-0.09456733637852259,-0.2956948857010647,0.10656021294401953,0.3466598852831792
TDG,sadness,audio,-0.07860069503202603,-0.27969661989468253,0.12249522983063048,0.45013625229608567
TDG,sadness,text,0.011976681722366591,-0.18905020309611237,0.21300356654084557,0.9050316798708206
TDG,fear,audio,0.07781506101225161,-0.12327945819692651,0.27890958022142975,0.4449944903974716
TDG,fear,text,0.049216102979815574,-0.15183685538339803,0.2502690613430292,0.6186337389289015
AMZN,happy,audio,-0.19885177775759982,-0.4954713908311425,0.09776783531594285,0.19261010527623296
AMZN,happy,text,-0.08958955667925135,-0.3856271866795023,0.20644807332099963,0.5514346154014309
AMZN,neutral,audio,0.3073750441345452,0.009743654730728024,0.6050064335383624,0.04044109728685305
AMZN,neutral,text,-0.013940782621715475,-0.3098336070490226,0.2819520418055916,0.926977941812487
AMZN,surprise,audio,-0.04457156905874595,-0.3404975373683667,0.2513543992508748,0.7666808277195976
AMZN,surprise,text,-0.054341439224817996,-0.3502852766248877,0.2416023981752517,0.7233654142804231
AMZN,disgust,audio,0.1599685390645125,-0.13639356965352215,0.45633064778254717,0.291797842996485
AMZN,disgust,text,0.14712063653954296,-0.14916861306431592,0.4434098861434018,0.3325345044686512
AMZN,anger,audio,0.15700845092756008,-0.13933633256755143,0.4533532344226716,0.29604543536353806
AMZN,anger,text,0.25162648513958424,-0.045431391653830255,0.5486843619329987,0.09518752326933928
AMZN,sadness,audio,-0.21684024870078117,-0.5135977799673113,0.07991728256574898,0.15466870720288042
