timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/02/24 20:16:33.874, 0, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:33.877, 1, NVIDIA A10G, 2 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:33.880, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:33.884, 3, NVIDIA A10G, 2 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:34.888, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/24 20:16:34.888, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:34.888, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:34.888, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:35.888, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/24 20:16:35.888, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:35.888, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:35.888, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:36.888, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/24 20:16:36.888, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:36.888, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:36.888, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:37.889, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/24 20:16:37.889, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:37.889, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:37.889, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:38.889, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/24 20:16:38.889, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:38.889, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:38.998, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:39.999, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/24 20:16:39.999, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:39.999, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:39.999, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:40.999, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/24 20:16:40.999, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:40.999, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:40.999, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:41.999, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/24 20:16:41.999, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:41.999, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:41.999, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:42.999, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/24 20:16:42.999, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:43.000, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:43.000, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:44.000, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/24 20:16:44.000, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:44.000, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:44.000, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:45.000, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/24 20:16:45.000, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:45.000, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:45.000, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:46.000, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/24 20:16:46.000, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:46.000, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:46.000, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:47.001, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/24 20:16:47.001, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:47.001, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:47.001, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:48.001, 0, NVIDIA A10G, 0 %, 0 %, 3 MiB, 23028 MiB
2026/02/24 20:16:48.001, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:48.001, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:48.001, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:49.001, 0, NVIDIA A10G, 0 %, 0 %, 395 MiB, 23028 MiB
2026/02/24 20:16:49.001, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:49.001, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:49.001, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:50.001, 0, NVIDIA A10G, 0 %, 0 %, 399 MiB, 23028 MiB
2026/02/24 20:16:50.002, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:50.002, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:50.002, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:51.002, 0, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/24 20:16:51.002, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:51.002, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:51.002, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:52.002, 0, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/24 20:16:52.002, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:52.002, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:52.002, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:53.002, 0, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/24 20:16:53.002, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:53.002, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:53.002, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:54.002, 0, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/24 20:16:54.003, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:54.003, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:54.003, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:55.003, 0, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/24 20:16:55.003, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:55.003, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:55.003, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:56.003, 0, NVIDIA A10G, 0 %, 0 %, 503 MiB, 23028 MiB
2026/02/24 20:16:56.003, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:56.003, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:56.003, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:57.003, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/24 20:16:57.003, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:57.003, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:57.004, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:58.004, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/24 20:16:58.004, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:58.004, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:58.004, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:59.004, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/24 20:16:59.004, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:59.004, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:16:59.004, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:00.004, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:00.004, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:00.004, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:00.004, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:01.005, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:01.005, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:01.005, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:01.005, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:02.005, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:02.005, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:02.005, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:02.005, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:03.005, 0, NVIDIA A10G, 0 %, 0 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:03.005, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:03.005, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:03.005, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:04.005, 0, NVIDIA A10G, 21 %, 6 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:04.006, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:04.006, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:04.006, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:05.006, 0, NVIDIA A10G, 22 %, 8 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:05.006, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:05.006, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:05.006, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:06.006, 0, NVIDIA A10G, 22 %, 7 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:06.006, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:06.006, 2, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:06.006, 3, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
2026/02/24 20:17:07.006, 0, NVIDIA A10G, 22 %, 8 %, 1247 MiB, 23028 MiB
2026/02/24 20:17:07.006, 1, NVIDIA A10G, 0 %, 0 %, 0 MiB, 23028 MiB
