model_name,elapsed_time,accuracy,precision,recall,f1_score
deepseek-r1:1.5b,65.21,0.43,0.4067460317460318,0.4666666666666666,0.3540979813754411
deepseek-r1:7b,59.44,0.59,0.6051701099804708,0.5911694946177705,0.5842634697533416
deepseek-r1:8b,71.45,0.48,0.7666666666666666,0.47355409596788905,0.4240358557431729
deepseek-r1:14b,109.49,0.88,0.8876190476190476,0.8746852764094143,0.8782542166579725
deepseek-r1:32b,1230.62,0.92,0.918999431703606,0.918162744024813,0.91808745865541
llama3:8b,45.69,0.91,0.9094182876510463,0.9066684911512498,0.9069251443929777
llama3.1:8b,39.68,0.87,0.8930534732633683,0.8702791461412152,0.8693112793196898
llama3.2:1b,36.71,0.34,0.504320987654321,0.3703065134099617,0.2887878787878788
llama3.2:3b,32.3,0.83,0.8357187592101386,0.8325944170771757,0.8294263999182032
phi3:3.8b,35.49,0.74,0.7582200744991443,0.7532019704433498,0.7330870279146141
phi3:14b,73.89,0.81,0.8540229885057471,0.8114303959131545,0.8086741512964449
phi4:14b,66.39,0.91,0.9137557237641342,0.9083743842364532,0.9079747838368529
qwen2:0.5b,24.88,0.3,0.21076746849942726,0.3428571428571428,0.17098301308827624
qwen2:1.5b,30.27,0.55,0.7012867647058824,0.5626892902754972,0.46895015316067945
qwen2:7b,46.91,0.77,0.7736281736281736,0.778215654077723,0.7697563874034463
qwen2.5:0.5b,26.22,0.29,0.25750334890119836,0.3094234628717387,0.2570060915977182
qwen2.5:1.5b,27.97,0.61,0.6336521136521137,0.633743842364532,0.5809581216452826
qwen2.5:3b,36.9,0.8,0.8095238095238096,0.8057288815909506,0.8010582010582011
qwen2.5:7b,51.22,0.87,0.8824786324786325,0.8725141397555191,0.8658119658119658
qwen2.5:14b,75.14,0.91,0.9128826196096061,0.9064039408866996,0.9071162755373282
gemma:2b,36.48,0.45,0.46885130373502465,0.4696861886517059,0.38235867446393756
gemma:7b,54.66,0.86,0.871873790166473,0.8536672140120416,0.8585185392394087
gemma2:2b,44.44,0.73,0.746256038647343,0.7452380952380953,0.7225954459852765
gemma2:9b,64.65,0.91,0.9128826196096061,0.9064039408866996,0.9071162755373282
mistral:7b,34.49,0.68,0.8081896551724137,0.6873563218390805,0.6384674329501915
