model_name,feature_set,fold,n_train,n_valid,threshold,accuracy,balanced_accuracy,precision,recall,f1_macro,f1,roc_auc
DummyMajority,BASELINE,0,40042,10021,,0.5046402554635266,0.5,0.0,0.0,0.3353893089269134,0.0,
DummyMajority,BASELINE,1,40061,10002,,0.5261947610477904,0.5,0.0,0.0,0.34477563052735016,0.0,
DummyMajority,BASELINE,2,40041,10022,,0.5214528038315706,0.5,0.0,0.0,0.34273347324239245,0.0,
DummyMajority,BASELINE,3,40061,10002,,0.5270945810837833,0.5,0.0,0.0,0.34516171271441665,0.0,
DummyMajority,BASELINE,4,40047,10016,,0.5065894568690096,0.5,0.0,0.0,0.3362491716368456,0.0,
LogReg,TEXT_ONLY,0,40042,10021,0.49999999999999994,0.5342780161660513,0.5344796356188923,0.5284210526315789,0.556204673650282,0.5341470843302525,0.5419570124644224,0.5462221807574154
LogReg,TEXT_ONLY,1,40061,10002,0.49999999999999994,0.5387922415516897,0.5404379360754108,0.5119002644503211,0.5718506013926988,0.538787811074922,0.5402172829662115,0.5522251656154875
LogReg,TEXT_ONLY,2,40041,10022,0.49999999999999994,0.5270405108760726,0.5278924314081099,0.5053866871873798,0.5477481234361968,0.5270368191063892,0.5257154292575545,0.540047524933873
LogReg,TEXT_ONLY,3,40061,10002,0.49999999999999994,0.5236952609478105,0.5218360511634323,0.49634093844167027,0.4875264270613108,0.5218221460216492,0.49189419795221845,0.5348127809128445
LogReg,TEXT_ONLY,4,40047,10016,0.49999999999999994,0.5374400958466453,0.5374663399334527,0.5307585108500896,0.5394577094293809,0.5374281027601772,0.5350727546412444,0.5482804314039706
RandomForest,TEXT_ONLY,0,40042,10021,0.49999999999999994,0.5267937331603633,0.5261639190743653,0.5256469500924215,0.45829975825946817,0.5242761265004154,0.48966853207059835,0.5401857582623364
RandomForest,TEXT_ONLY,1,40061,10002,0.5099999999999999,0.5356928614277144,0.5305387754162695,0.511872031992002,0.4321586832665119,0.5281814768826711,0.46864988558352405,0.5437397010916447
RandomForest,TEXT_ONLY,2,40041,10022,0.5299999999999999,0.534723608062263,0.5270159116523624,0.5207877461706784,0.34737281067556297,0.514878702251402,0.4167604752970607,0.5410233109808628
RandomForest,TEXT_ONLY,3,40061,10002,0.5099999999999999,0.5257948410317936,0.5189590304356335,0.49825690533655137,0.39281183932346725,0.5142341135349779,0.4392954249911337,0.5386961553638513
RandomForest,TEXT_ONLY,4,40047,10016,0.49999999999999994,0.5314496805111821,0.5305062971701537,0.5290412876137159,0.45892351274787535,0.5285389186156388,0.49149420305558567,0.5434162417268538
KNN,TEXT_ONLY,0,40042,10021,0.22999999999999998,0.4967568106975352,0.5012489967313799,0.4959943210627725,0.9852941176470589,0.34659193368676344,0.6598313659359191,0.537247577455843
KNN,TEXT_ONLY,1,40061,10002,0.33999999999999997,0.4933013397320536,0.5133257584982245,0.48134286038335033,0.8955475838784553,0.4200816281254416,0.6261434051342579,0.5316933236631832
KNN,TEXT_ONLY,2,40041,10022,0.16999999999999998,0.47904609858311714,0.500384018510131,0.47873936968484243,0.9977064220183486,0.32655341691351947,0.6470150767358529,0.5285515468145894
KNN,TEXT_ONLY,3,40061,10002,0.05,0.47280543891221755,0.499883424177192,0.47284728472847287,0.9995771670190274,0.3211889624202697,0.641998777921108,0.5376726380864081
KNN,TEXT_ONLY,4,40047,10016,0.16999999999999998,0.4943091054313099,0.5008316016441091,0.49382839939789264,0.9957507082152974,0.3359670280945112,0.6602267391158516,0.535715681487438
XGB,TEXT_ONLY,0,40042,10021,0.4799999999999999,0.5422612513721186,0.5419467466530226,0.5403899721448467,0.508058017727639,0.5415668939810223,0.5237254698369848,0.5588754755019212
XGB,TEXT_ONLY,1,40061,10002,0.4799999999999999,0.5465906818636272,0.5467136571598731,0.5204,0.5490609833298165,0.5462769716787901,0.53434644213985,0.5654141833581869
XGB,TEXT_ONLY,2,40041,10022,0.4799999999999999,0.5414089004190781,0.5408462036388916,0.5205676676264912,0.5277314428690576,0.5408031511907108,0.5241250776558294,0.556750335223223
XGB,TEXT_ONLY,3,40061,10002,0.4799999999999999,0.5446910617876425,0.5428828194426176,0.5189491817398794,0.5095137420718816,0.5428890100738999,0.5141881800725411,0.5611398083777394
XGB,TEXT_ONLY,4,40047,10016,0.4799999999999999,0.5436301916932907,0.5428205257454745,0.5422840209710509,0.48138405503844595,0.5414729949247903,0.510022510451281,0.5621300702656132
LogReg,TEXT_AUDIO,0,40042,10021,0.49999999999999994,0.53886837640954,0.5390351961849262,0.5330634278002699,0.5570104754230459,0.5387907583857028,0.5447739139001083,0.5503613559650444
LogReg,TEXT_AUDIO,1,40061,10002,0.49999999999999994,0.5394921015796841,0.5407563028747795,0.5127370235587052,0.5648871069845959,0.5394839813255411,0.5375502008032128,0.5534477935583055
LogReg,TEXT_AUDIO,2,40041,10022,0.49999999999999994,0.5368189982039513,0.53738872041282,0.515015600624025,0.5506672226855713,0.5367747051504477,0.5322450624748085,0.5458606674716492
LogReg,TEXT_AUDIO,3,40061,10002,0.49999999999999994,0.5256948610277944,0.5246457410324439,0.4985398414685023,0.5052854122621564,0.5246091032377826,0.501889962200756,0.5355651300740759
LogReg,TEXT_AUDIO,4,40047,10016,0.49999999999999994,0.5365415335463258,0.5364004876751636,0.5306372549019608,0.5256980979360583,0.5363951138919398,0.5281561292945721,0.5490145083839707
