model_name,feature_set,fold,n_train,n_valid,threshold,accuracy,balanced_accuracy,precision,recall,f1_macro,f1,roc_auc
LogReg,TEXT,0,40042,10021,0.49999999999999994,0.5342780161660513,0.5344796356188923,0.5284210526315789,0.556204673650282,0.5341470843302525,0.5419570124644224,0.5462221807574154
LogReg,TEXT,1,40061,10002,0.49999999999999994,0.5387922415516897,0.5404379360754108,0.5119002644503211,0.5718506013926988,0.538787811074922,0.5402172829662115,0.5522251656154875
LogReg,TEXT,2,40041,10022,0.49999999999999994,0.5270405108760726,0.5278924314081099,0.5053866871873798,0.5477481234361968,0.5270368191063892,0.5257154292575545,0.540047524933873
LogReg,TEXT,3,40061,10002,0.49999999999999994,0.5236952609478105,0.5218360511634323,0.49634093844167027,0.4875264270613108,0.5218221460216492,0.49189419795221845,0.5348127809128445
LogReg,TEXT,4,40047,10016,0.49999999999999994,0.5374400958466453,0.5374663399334527,0.5307585108500896,0.5394577094293809,0.5374281027601772,0.5350727546412444,0.5482804314039706
RandomForest,TEXT,0,40042,10021,0.49999999999999994,0.5267937331603633,0.5261639190743653,0.5256469500924215,0.45829975825946817,0.5242761265004154,0.48966853207059835,0.5401857582623364
RandomForest,TEXT,1,40061,10002,0.5099999999999999,0.5356928614277144,0.5305387754162695,0.511872031992002,0.4321586832665119,0.5281814768826711,0.46864988558352405,0.5437397010916447
RandomForest,TEXT,2,40041,10022,0.5299999999999999,0.534723608062263,0.5270159116523624,0.5207877461706784,0.34737281067556297,0.514878702251402,0.4167604752970607,0.5410233109808628
RandomForest,TEXT,3,40061,10002,0.5099999999999999,0.5257948410317936,0.5189590304356335,0.49825690533655137,0.39281183932346725,0.5142341135349779,0.4392954249911337,0.5386961553638513
RandomForest,TEXT,4,40047,10016,0.49999999999999994,0.5314496805111821,0.5305062971701537,0.5290412876137159,0.45892351274787535,0.5285389186156388,0.49149420305558567,0.5434162417268538
KNN,TEXT,0,40042,10021,0.22999999999999998,0.4967568106975352,0.5012489967313799,0.4959943210627725,0.9852941176470589,0.34659193368676344,0.6598313659359191,0.537247577455843
KNN,TEXT,1,40061,10002,0.33999999999999997,0.4933013397320536,0.5133257584982245,0.48134286038335033,0.8955475838784553,0.4200816281254416,0.6261434051342579,0.5316933236631832
KNN,TEXT,2,40041,10022,0.16999999999999998,0.47904609858311714,0.500384018510131,0.47873936968484243,0.9977064220183486,0.32655341691351947,0.6470150767358529,0.5285515468145894
KNN,TEXT,3,40061,10002,0.05,0.47280543891221755,0.499883424177192,0.47284728472847287,0.9995771670190274,0.3211889624202697,0.641998777921108,0.5376726380864081
KNN,TEXT,4,40047,10016,0.16999999999999998,0.4943091054313099,0.5008316016441091,0.49382839939789264,0.9957507082152974,0.3359670280945112,0.6602267391158516,0.535715681487438
XGB,TEXT,0,40042,10021,0.4799999999999999,0.5422612513721186,0.5419467466530226,0.5403899721448467,0.508058017727639,0.5415668939810223,0.5237254698369848,0.5588754755019212
XGB,TEXT,1,40061,10002,0.4799999999999999,0.5465906818636272,0.5467136571598731,0.5204,0.5490609833298165,0.5462769716787901,0.53434644213985,0.5654141833581869
XGB,TEXT,2,40041,10022,0.4799999999999999,0.5414089004190781,0.5408462036388916,0.5205676676264912,0.5277314428690576,0.5408031511907108,0.5241250776558294,0.556750335223223
XGB,TEXT,3,40061,10002,0.4799999999999999,0.5446910617876425,0.5428828194426176,0.5189491817398794,0.5095137420718816,0.5428890100738999,0.5141881800725411,0.5611398083777394
XGB,TEXT,4,40047,10016,0.4799999999999999,0.5436301916932907,0.5428205257454745,0.5422840209710509,0.48138405503844595,0.5414729949247903,0.510022510451281,0.5621300702656132
LogReg,AUDIO,0,40042,10021,0.49999999999999994,0.5149186707913382,0.5149500568618475,0.5102121752924846,0.5183319903303787,0.5149177240107311,0.5142400319776157,0.5243590314571819
LogReg,AUDIO,1,40061,10002,0.49999999999999994,0.5270945810837833,0.5260976778448743,0.50093808630394,0.5070690018991348,0.5260658161145633,0.503984899328859,0.5252950350696636
LogReg,AUDIO,2,40041,10022,0.49999999999999994,0.5194571941728198,0.5189826832987178,0.49795584627964024,0.5079232693911593,0.5189228773579639,0.5028901734104047,0.5300693475587355
LogReg,AUDIO,3,40061,10002,0.49999999999999994,0.5135972805438912,0.514919700231307,0.4871109413786519,0.539323467230444,0.5135913244203031,0.5118892344737634,0.5180016008623484
LogReg,AUDIO,4,40047,10016,0.49999999999999994,0.5124800319488818,0.5121387200712338,0.5062144512323573,0.48624038850667745,0.5119598414290746,0.4960264217153473,0.5215584142230402
RandomForest,AUDIO,0,40042,10021,0.48999999999999994,0.5055383694242092,0.5053207296609147,0.5009424083769634,0.48186946011281223,0.5051464897415677,0.4912208645651504,0.5109419618763501
RandomForest,AUDIO,1,40061,10002,0.5099999999999999,0.5147970405918816,0.5084246819449318,0.4849206349206349,0.3867904621228107,0.5038905224680748,0.4303321986148609,0.511395510677306
RandomForest,AUDIO,2,40041,10022,0.4499999999999999,0.5031929754540012,0.5108762420654793,0.4865460961623291,0.6899499582985822,0.49061239461359374,0.5706648271104596,0.5131098932105368
RandomForest,AUDIO,3,40061,10002,0.4799999999999999,0.503999200159968,0.5065431238310336,0.4788732394366197,0.5534883720930233,0.5038105995882342,0.5134843581445523,0.517458061577058
RandomForest,AUDIO,4,40047,10016,0.4799999999999999,0.5086861022364217,0.5087889442643055,0.5020648967551622,0.5165924726831242,0.5086855096437022,0.5092250922509225,0.5121371847207664
KNN,AUDIO,0,40042,10021,0.05,0.4953597445364734,0.5,0.4953597445364734,1.0,0.3312645979312646,0.6625291958625292,0.51156985625752
KNN,AUDIO,1,40061,10002,0.05,0.47380523895220955,0.5,0.47380523895220955,1.0,0.3214842955023404,0.6429685910046808,0.5116626172344994
KNN,AUDIO,2,40041,10022,0.05,0.47854719616842945,0.5,0.47854719616842945,1.0,0.3236604130112026,0.6473208260224051,0.5112237139828542
KNN,AUDIO,3,40061,10002,0.05,0.47290541891621674,0.5,0.47290541891621674,1.0,0.3210697800705946,0.6421395601411892,0.5173657874221624
KNN,AUDIO,4,40047,10016,0.05,0.4934105431309904,0.5,0.4934105431309904,1.0,0.33039176360475997,0.6607835272095199,0.5157846191222197
XGB,AUDIO,0,40042,10021,0.4799999999999999,0.5226025346771779,0.5223261626483073,0.5191082802547771,0.49254633360193395,0.5220294246765544,0.5054786024395286,0.5266880208651191
XGB,AUDIO,1,40061,10002,0.4799999999999999,0.5278944211157769,0.5269837563369146,0.5017660502804904,0.5096011816838996,0.5269368513058981,0.5056532663316583,0.5287918977303441
XGB,AUDIO,2,40041,10022,0.4799999999999999,0.5288365595689483,0.5282678319444032,0.5076037813399096,0.5150125104253545,0.5282278242109799,0.5112813082177603,0.5346826766277677
XGB,AUDIO,3,40061,10002,0.48999999999999994,0.5249950009998,0.5222973818361474,0.49766199064796257,0.4725158562367865,0.5220810474757615,0.48476304088493655,0.5279238996878479
XGB,AUDIO,4,40047,10016,0.4799999999999999,0.5159744408945687,0.5153981694155954,0.5102889667250438,0.471671388101983,0.5147359565686915,0.49022082018927443,0.5266500152258912
LogReg,EMOTION,0,40042,10021,0.49999999999999994,0.53886837640954,0.5390370485570062,0.5330506841395259,0.5572119258662369,0.5387883513500396,0.5448635871171083,0.550321878529964
LogReg,EMOTION,1,40061,10002,0.49999999999999994,0.5390921815636872,0.5403237682697055,0.5123681687440077,0.5638320320742772,0.5390815662495239,0.5368696001607394,0.5534015250252823
LogReg,EMOTION,2,40041,10022,0.49999999999999994,0.5372181201357015,0.5377885784396808,0.515405616224649,0.5510842368640534,0.5371738652494134,0.5326481257557436,0.5458352923264603
LogReg,EMOTION,3,40061,10002,0.49999999999999994,0.5257948410317936,0.5247405817001223,0.49864385562278324,0.5052854122621564,0.5247047549466282,0.5019426651265357,0.5355503325238125
LogReg,EMOTION,4,40047,10016,0.49999999999999994,0.5369408945686901,0.5367920219839855,0.5310838445807771,0.5254957507082153,0.5367845689944,0.5282750203417412,0.5489794944174657
RandomForest,EMOTION,0,40042,10021,0.4699999999999999,0.5401656521305259,0.5409799876890953,0.5302412504247367,0.628726833199033,0.5369970280708931,0.5752995391705069,0.5556763492479051
RandomForest,EMOTION,1,40061,10002,0.5099999999999999,0.5399920015996801,0.5333318271335437,0.5185883620689655,0.40620384047267355,0.528657926038632,0.4555673884747367,0.5449976518919961
RandomForest,EMOTION,2,40041,10022,0.49999999999999994,0.5297345839153862,0.526812830694797,0.5096131572851518,0.45871559633027525,0.5258338211068154,0.48282673104356416,0.5404125519831394
RandomForest,EMOTION,3,40061,10002,0.5199999999999999,0.5384923015396921,0.5281456223312277,0.5185305591677504,0.3372093023255814,0.5151186564398165,0.40866000512426337,0.5477724273115459
RandomForest,EMOTION,4,40047,10016,0.41999999999999993,0.5187699680511182,0.5226502079223446,0.5076690973095298,0.8170781060299473,0.47539613214790416,0.6262406947890818,0.5510902224575274
KNN,EMOTION,0,40042,10021,0.05,0.49545953497654927,0.5000988728495155,0.49540918163672654,1.0,0.3314844124229414,0.6625734116390817,0.5300686795829717
KNN,EMOTION,1,40061,10002,0.05,0.47390521895620874,0.5000950028500855,0.47385261473852613,1.0,0.32169607543932727,0.6430122116689281,0.5224368104750676
KNN,EMOTION,2,40041,10022,0.05,0.47854719616842945,0.5,0.47854719616842945,1.0,0.3236604130112026,0.6473208260224051,0.5290161992373412
KNN,EMOTION,3,40061,10002,0.05,0.47290541891621674,0.5,0.47290541891621674,1.0,0.3210697800705946,0.6421395601411892,0.5217793472716364
KNN,EMOTION,4,40047,10016,0.05,0.4934105431309904,0.5,0.4934105431309904,1.0,0.33039176360475997,0.6607835272095199,0.5244084633622309
XGB,EMOTION,0,40042,10021,0.4799999999999999,0.547051192495759,0.5467760001733661,0.5451263537906137,0.5171232876712328,0.5465042904520894,0.5307557117750439,0.5607232664466341
XGB,EMOTION,1,40061,10002,0.48999999999999994,0.5490901819636073,0.5455381597721407,0.5266341009537102,0.47773791939227683,0.5448622968166064,0.5009957955299845,0.566443798547128
XGB,EMOTION,2,40041,10022,0.4799999999999999,0.5488924366393934,0.5482277376190836,0.5284384694932782,0.5327356130108424,0.5482047566736639,0.5305783407745821,0.5627091055596464
XGB,EMOTION,3,40061,10002,0.48999999999999994,0.5435912817436512,0.5392096183274677,0.5197794293934308,0.45835095137420717,0.5379930686104597,0.4871362768228289,0.5616140117161308
XGB,EMOTION,4,40047,10016,0.4699999999999999,0.5464257188498403,0.5464272035708823,0.5398760743553868,0.5465398624038851,0.5464029260167562,0.5431875314228255,0.5657844436535949
LogReg,MULTIMODAL,0,40042,10021,0.5099999999999999,0.5774872767188903,0.577593516108148,0.5713169206721376,0.589041095890411,0.5774716202640358,0.5800436421344971,0.603544173377565
LogReg,MULTIMODAL,1,40061,10002,0.49999999999999994,0.5731853629274145,0.5744319966231188,0.5451923076923076,0.5982274741506647,0.5731684287566975,0.5704799275581044,0.6023872718713741
LogReg,MULTIMODAL,2,40041,10022,0.5099999999999999,0.5750349231690282,0.5729344312632003,0.5598128759189129,0.523978315262719,0.5727242719186196,0.5413031771674744,0.6045957898963514
LogReg,MULTIMODAL,3,40061,10002,0.49999999999999994,0.5732853429314138,0.5734740076417918,0.5462369895916733,0.5769556025369978,0.5729601711531095,0.5611762286654328,0.6020561777566753
LogReg,MULTIMODAL,4,40047,10016,0.49999999999999994,0.575479233226837,0.5757818682527329,0.5659908186687069,0.5987454471873735,0.5753788515536029,0.5819075712881022,0.5984507795353176
RandomForest,MULTIMODAL,0,40042,10021,0.5199999999999999,0.5586268835445565,0.5573209170492646,0.5752433936022253,0.41659951651893634,0.5490279666583631,0.4832340226661993,0.5905061827798074
RandomForest,MULTIMODAL,1,40061,10002,0.5299999999999999,0.5714857028594281,0.5615349637952738,0.5738025415444771,0.37159738341422244,0.5498245611971676,0.4510758196721312,0.6000594915505199
RandomForest,MULTIMODAL,2,40041,10022,0.5099999999999999,0.5690480941927759,0.5635482209150565,0.5644768856447688,0.4353628023352794,0.5588057559185212,0.49158328428487347,0.5918372387118107
RandomForest,MULTIMODAL,3,40061,10002,0.5199999999999999,0.5793841231753649,0.5700979204830177,0.5804863034779932,0.39873150105708244,0.561443237563052,0.472740944980574,0.602827414847918
RandomForest,MULTIMODAL,4,40047,10016,0.5099999999999999,0.5732827476038339,0.5716136110693265,0.589544235924933,0.44496155402670984,0.5654585260641338,0.5071494464944649,0.5982877931103681
KNN,MULTIMODAL,0,40042,10021,0.05,0.4953597445364734,0.49999814762792005,0.49535881824533384,0.999798549556809,0.331439741874157,0.6624841487018621,0.5491696035063293
KNN,MULTIMODAL,1,40061,10002,0.05,0.47380523895220955,0.5,0.47380523895220955,1.0,0.3214842955023404,0.6429685910046808,0.551458687672848
KNN,MULTIMODAL,2,40041,10022,0.05,0.47854719616842945,0.5,0.47854719616842945,1.0,0.3236604130112026,0.6473208260224051,0.5457513069795694
KNN,MULTIMODAL,3,40061,10002,0.05,0.47290541891621674,0.49998913242243515,0.4729,0.9997885835095137,0.32123509480856405,0.6420909708078751,0.5440553348176332
KNN,MULTIMODAL,4,40047,10016,0.05,0.4934105431309904,0.5,0.4934105431309904,1.0,0.33039176360475997,0.6607835272095199,0.5516078748404631
XGB,MULTIMODAL,0,40042,10021,0.4799999999999999,0.5700029937132023,0.570165085789924,0.5632361459741263,0.5876309427880742,0.5699392514699162,0.575174997535246,0.5978310595233676
XGB,MULTIMODAL,1,40061,10002,0.4799999999999999,0.5724855028994201,0.572653484732206,0.5463463463463464,0.5758598860519096,0.5721783471500632,0.560715019519211,0.6075980348623373
XGB,MULTIMODAL,2,40041,10022,0.48999999999999994,0.5739373378567152,0.5718905791821032,0.5584184806752555,0.52418682235196,0.5717021489625097,0.5407614540761454,0.6032796138317842
XGB,MULTIMODAL,3,40061,10002,0.4799999999999999,0.5707858428314337,0.5706248175369819,0.5442935333468477,0.5676532769556025,0.5702922158193253,0.55572803477181,0.6036819432993163
XGB,MULTIMODAL,4,40047,10016,0.4799999999999999,0.5743809904153354,0.5741820330656267,0.5700433257685166,0.5590853905301497,0.5741622609809338,0.5645111860251303,0.6024416140114568
