,model_name,feature_set,fold,f1_macro,roc_auc,threshold
0,DummyMajority,BASELINE,1,0.44700218818380744,,
1,DummyMajority,BASELINE,2,0.4527891393264294,,
2,DummyMajority,BASELINE,3,0.45115267507612006,,
3,DummyMajority,BASELINE,4,0.4499168926603097,,
4,DummyMajority,BASELINE,5,0.4529038979078045,,
5,LogReg,TEXT_ONLY,1,0.5336750363973595,0.5397490402334711,0.2
6,LogReg,TEXT_ONLY,2,0.5343646265776255,0.5512448064790696,0.2
7,LogReg,TEXT_ONLY,3,0.5478831524682624,0.5521908254259448,0.2
8,LogReg,TEXT_ONLY,4,0.5500287073377065,0.5421408842476355,0.2
9,LogReg,TEXT_ONLY,5,0.539913808228117,0.5519698539602452,0.21000000000000002
10,LogReg,TEXT_AUDIO,1,0.5360385291538874,0.5484419548822822,0.21000000000000002
11,LogReg,TEXT_AUDIO,2,0.5469046670287603,0.5549425136685588,0.21000000000000002
12,LogReg,TEXT_AUDIO,3,0.5586374145025438,0.572961864929176,0.21000000000000002
13,LogReg,TEXT_AUDIO,4,0.5571545257766853,0.5556875967419148,0.21000000000000002
14,LogReg,TEXT_AUDIO,5,0.547427278244025,0.5804105507605851,0.21000000000000002
15,LogReg,TEXT_AUDIO_STRUCT,1,0.6166123542991122,0.6915850510067221,0.26000000000000006
16,LogReg,TEXT_AUDIO_STRUCT,2,0.6095736819554477,0.6901178069015483,0.26000000000000006
17,LogReg,TEXT_AUDIO_STRUCT,3,0.611737037346002,0.6783765044528748,0.25000000000000006
18,LogReg,TEXT_AUDIO_STRUCT,4,0.6172179181847635,0.6914833151771985,0.26000000000000006
19,LogReg,TEXT_AUDIO_STRUCT,5,0.6122166493906461,0.6818391486888398,0.26000000000000006
20,LogReg,TEXT_AUDIO_STRUCT_SEMANTIC,1,0.6194203624585362,0.6906061643342786,0.26000000000000006
21,LogReg,TEXT_AUDIO_STRUCT_SEMANTIC,2,0.6099727685325265,0.6902588102751781,0.2800000000000001
22,LogReg,TEXT_AUDIO_STRUCT_SEMANTIC,3,0.6069262195324026,0.6759150861333291,0.2700000000000001
23,LogReg,TEXT_AUDIO_STRUCT_SEMANTIC,4,0.61243556418549,0.6912598376391534,0.26000000000000006
