,model_name,feature_set,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,f1_vs_baseline
0,LogReg,TEXT_AUDIO_STRUCT,0.6134715282351944,0.002955557855895864,0.6866803652454367,0.00550148629759728,0.1627185696043002
1,LogReg,FULL,0.6122839104948612,0.004255196976495752,0.6860373237072552,0.006056183309865456,0.16153095186396704
2,LogReg,TEXT_AUDIO_STRUCT_SEMANTIC,0.6121698355608908,0.004122355534746609,0.6860399386478114,0.006057471330253908,0.16141687692999662
3,XGB,TEXT_AUDIO_STRUCT_SEMANTIC,0.6107824936899702,0.008233211167140236,0.6809974657392877,0.006064252768665741,0.16002953505907602
4,XGB,TEXT_AUDIO_STRUCT,0.6107769086120343,0.006207378689351804,0.682524778473214,0.004106427291475886,0.1600239499811401
5,XGB,FULL,0.6098232214141147,0.005239015282569676,0.6781437158521101,0.009083351107651698,0.15907026278322056
6,RandomForest,TEXT_AUDIO_STRUCT_SEMANTIC,0.602309969953992,0.013917469628266907,0.6759923184002489,0.008685079803951086,0.15155701132309785
7,RandomForest,FULL,0.6007031001567993,0.014530642278510772,0.67313828441691,0.009136366890782871,0.14995014152590513
8,SVM,FULL,0.5891975958184962,0.008626461222808395,0.6250692363931829,0.009543773796528054,0.13844463718760203
9,SVM,TEXT_AUDIO_STRUCT_SEMANTIC,0.5888173639118293,0.006781899757002463,0.6232709204182004,0.008383115987584774,0.1380644052809351
10,RandomForest,TEXT_AUDIO_STRUCT,0.5856381603775143,0.020767869765668256,0.6735657475612488,0.006297918395965687,0.1348852017466201
11,SVM,TEXT_AUDIO_STRUCT,0.5818992883098665,0.006737033129959627,0.6111842169274331,0.007935034808812112,0.13114632967897233
12,XGB,TEXT_AUDIO,0.5680900746764062,0.004675314095068464,0.6099672619742286,0.004701074523590321,0.117337116045512
13,XGB,TEXT_ONLY,0.5658373631365183,0.005800332329306107,0.6031954566938473,0.006648458842705185,0.11508440450562418
14,RandomForest,TEXT_AUDIO,0.5644011583349351,0.007997254203154914,0.6156733081854282,0.004824483431052608,0.11364819970404094
15,KNN,TEXT_AUDIO_STRUCT,0.5588483193529491,0.006502006678877482,0.5866325594856442,0.008927800447482809,0.10809536072205495
16,SVM,TEXT_AUDIO,0.5523071377210379,0.0019921396490768283,0.5582211131786546,0.004368484307801623,0.10155417909014375
17,LogReg,TEXT_AUDIO,0.5492324829411804,0.008172752386111742,0.5624888961965034,0.012094551667623214,0.09847952431028628
18,KNN,FULL,0.5466392129649963,0.008495046814345087,0.5628739106442884,0.014542410418829957,0.09588625433410214
19,RandomForest,TEXT_ONLY,0.5465288352284845,0.01165837914785325,0.593660344402607,0.006024661745461899,0.09577587659759035
20,KNN,TEXT_AUDIO_STRUCT_SEMANTIC,0.5439235557557611,0.0013705753911098311,0.5643787218128077,0.003542851682743478,0.09317059712486697
21,LogReg,TEXT_ONLY,0.5411730662018142,0.006746979610757954,0.5474590820692733,0.005381377904080087,0.09042010757092
22,KNN,TEXT_AUDIO,0.5312617656491918,0.006452110231572081,0.5399392765656283,0.011345498575508439,0.08050880701829766
23,KNN,TEXT_ONLY,0.5225745696527268,0.00346129749209942,0.5355196749481557,0.007580991023948295,0.0718216110218326
24,SVM,TEXT_ONLY,0.5222288116628143,0.005971001362937101,0.5255150959669992,0.00697173159648082,0.07147585303192017
25,Majority,BASELINE,0.45075295863089415,0.0021771371150351737,,,0.0
