model_name,feature_set,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,f1_vs_baseline
LogReg,TEXT_AUDIO_STRUCT_SEMANTIC,0.574670266377431,0.0018698501254468057,0.6021956556559492,0.002326292487723734,0.23380840696784738
LogReg,FULL,0.5743406687292131,0.002047763404934457,0.6022068384874567,0.002326950104543317,0.23347880931962944
XGB,TEXT_AUDIO_STRUCT_SEMANTIC,0.5716975377114455,0.0025400402638887454,0.6021690040739556,0.003259867505251561,0.23083567830186186
XGB,FULL,0.5716548448765496,0.001685485576319435,0.6029664531056524,0.0034896012933516326,0.23079298546696597
LogReg,TEXT_AUDIO_STRUCT,0.5609280424915567,0.0030025820006576893,0.5854577962292565,0.003103627899581632,0.22006618308197307
XGB,TEXT_AUDIO_STRUCT,0.557192532531544,0.006193248100337171,0.5848812984680063,0.005345720102183871,0.21633067312196036
RandomForest,FULL,0.5569120094802475,0.007237943485758808,0.5967036242000848,0.005323585177931513,0.21605015007066392
RandomForest,TEXT_AUDIO_STRUCT_SEMANTIC,0.5546608925850378,0.012868148004102999,0.5985086651788766,0.0051818365898160185,0.21379903317545418
XGB,TEXT_AUDIO,0.5449584927923532,0.004735985276838527,0.5636759459426709,0.0018058317160623359,0.20409663338276957
XGB,TEXT_ONLY,0.5426018043698427,0.0021891633904375205,0.5608619745453367,0.0032886022804013756,0.2017399449602591
LogReg,TEXT_AUDIO,0.5352107323982829,0.006068783931186584,0.5468498910906091,0.006871547590116133,0.19434887298869924
LogReg,TEXT_ONLY,0.531844392658678,0.007215425452616444,0.5443176167247181,0.006899930824101994,0.19098253324909437
RandomForest,TEXT_AUDIO_STRUCT,0.5315684743085465,0.017939026363156228,0.5787009672531219,0.003200321737276843,0.19070661489896285
RandomForest,TEXT_ONLY,0.5220218675570211,0.00702083236198511,0.5414122334851098,0.0021485888996974883,0.18116000814743743
RandomForest,TEXT_AUDIO,0.5036348961759499,0.023718842637794058,0.5514590561945386,0.005686603891915511,0.16277303676636629
KNN,TEXT_ONLY,0.3500765938481011,0.040310552678462404,0.5341761535014923,0.003931597651329976,0.009214734438517447
KNN,TEXT_AUDIO_STRUCT,0.34628624253227297,0.04489418059465777,0.5490669116680907,0.0033261352046847917,0.005424383122689336
DummyMajority,BASELINE,0.34086185940958363,0.004704651379715875,,,0.0
KNN,FULL,0.3256422617602048,0.004919554650783919,0.5484085615633687,0.0033959403922394554,-0.015219597649378858
KNN,TEXT_AUDIO_STRUCT_SEMANTIC,0.32564060013737695,0.004808576724062647,0.5499153595427677,0.0015124749753214616,-0.015221259272206689
KNN,TEXT_AUDIO,0.32556504078617066,0.0049103366566336975,0.5271158900333319,0.004494609250987565,-0.015296818623412978
