model_name,feature_set,roc_auc_mean,roc_auc_std,f1_macro_mean,f1_macro_std
XGB,MULTIMODAL,0.6029664531056524,0.0034896012933516326,0.5716548448765496,0.001685485576319435
LogReg,MULTIMODAL,0.6022068384874567,0.002326950104543317,0.5743406687292131,0.002047763404934457
RandomForest,MULTIMODAL,0.5967036242000848,0.005323585177931513,0.5569120094802475,0.007237943485758808
XGB,EMOTION,0.5634549251846268,0.0025380695935435316,0.5447934677139151,0.003981341741442079
XGB,TEXT,0.5608619745453367,0.0032886022804013756,0.5426018043698427,0.0021891633904375205
KNN,MULTIMODAL,0.5484085615633687,0.0033959403922394554,0.3256422617602048,0.004919554650783919
RandomForest,EMOTION,0.5479898405784228,0.005811853134808024,0.5164007127608122,0.02422008626330812
LogReg,EMOTION,0.546817704564597,0.0068596295256586875,0.535306621358001,0.006009225262919598
LogReg,TEXT,0.5443176167247181,0.006899930824101994,0.531844392658678,0.007215425452616444
RandomForest,TEXT,0.5414122334851098,0.0021485888996974883,0.5220218675570211,0.00702083236198511
KNN,TEXT,0.5341761535014923,0.003931597651329976,0.3500765938481011,0.040310552678462404
XGB,AUDIO,0.528947302027394,0.0033297110486238393,0.5228022208475771,0.005308348737009273
KNN,EMOTION,0.5255418999858495,0.003796233369630913,0.3256604889097652,0.004926827852113983
LogReg,AUDIO,0.5238566858341939,0.0044856002323507786,0.5170915166665272,0.005639209687065309
KNN,AUDIO,0.5135213188038511,0.0028480007371584,0.32557417002403244,0.0049058446274939825
RandomForest,AUDIO,0.5130085224124035,0.0026191784731147746,0.5024291032110345,0.006895753975616847
